cgpa,branch,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score,aptitude_score,internships,projects,backlogs,resume_score,skill_score,placed,company_type,job_role,salary_lpa
8.49,3,3,1,0,0,1,14.4,6.1,75.2,0,6,0,70.1,2,1,1,0,60.61
7.04,1,3,1,0,0,1,11.6,6.1,72.7,0,2,1,44.9,2,0,0,3,0.0
8.38,0,1,0,1,0,0,90.7,7.4,92.8,2,2,0,65.9,1,1,2,3,47.02
7.48,3,1,0,0,0,0,24.7,5.3,40.3,2,1,0,42.3,0,0,0,3,0.0
6.73,4,3,0,1,0,0,32.1,4.0,43.8,1,1,0,40.3,1,0,0,3,0.0
6.92,5,2,0,1,0,0,64.9,6.6,88.7,3,1,0,63.6,1,1,2,1,45.0
5.3,0,3,1,0,0,0,61.3,7.5,87.9,1,2,1,48.8,1,0,0,3,0.0
5.13,5,3,1,1,1,0,78.1,5.6,49.2,2,5,1,88.5,3,1,1,1,67.72
6.65,5,1,0,0,0,0,87.6,4.5,94.9,3,1,0,45.3,0,1,2,2,41.72
9.53,2,1,1,1,0,0,68.2,4.8,88.1,3,6,0,90.3,2,1,0,2,87.1
9.57,4,1,1,1,1,1,7.1,6.6,55.7,1,4,0,86.0,4,1,1,0,70.55
7.19,3,2,0,0,0,0,92.9,4.7,71.1,1,1,0,25.2,0,1,2,3,43.96
9.83,3,3,0,1,0,0,74.0,9.4,50.8,0,5,0,63.2,1,1,2,1,47.62
6.7,5,1,0,0,0,0,63.4,9.3,67.3,2,2,1,62.7,0,1,2,2,40.58
5.51,0,3,0,1,0,0,57.0,8.5,64.0,1,2,0,50.7,1,0,0,3,0.0
7.91,2,3,1,1,1,1,4.4,9.4,93.4,1,3,0,90.1,4,1,1,0,59.86
9.56,2,2,0,1,0,0,60.1,8.2,63.7,0,5,1,57.3,1,1,2,1,38.39
7.61,5,1,1,0,1,0,58.0,5.6,65.5,0,2,1,50.7,2,1,0,3,83.56
7.43,3,3,1,1,0,1,25.0,7.7,82.8,2,2,0,81.2,3,1,1,2,61.18
6.52,2,1,0,1,0,1,45.7,8.9,58.7,1,2,1,69.7,2,1,0,3,85.91
9.07,5,1,0,1,0,0,14.8,5.1,66.9,1,3,0,47.5,1,1,2,2,39.89
7.05,5,2,1,0,0,1,43.0,9.9,71.5,2,1,0,77.7,2,1,1,0,68.19
5.81,0,3,1,1,1,1,26.4,9.2,93.3,1,1,2,77.8,4,1,0,0,87.37
5.05,5,3,0,0,0,1,24.0,6.8,54.8,1,1,0,46.4,1,0,0,3,0.0
5.47,2,3,1,0,0,0,22.6,8.9,42.6,0,6,0,63.5,1,1,2,3,46.09
6.53,3,3,1,1,0,1,32.8,8.3,79.2,1,1,0,71.4,3,1,1,3,54.15
9.2,4,2,1,0,0,1,12.2,4.9,72.6,0,1,1,40.4,2,0,0,3,0.0
9.96,3,3,1,1,0,0,56.9,7.8,57.8,2,3,1,76.7,2,1,1,3,65.1
6.34,5,1,1,1,0,0,84.5,8.3,57.0,1,6,0,86.7,2,1,0,3,73.8
9.42,0,2,0,1,1,1,57.9,6.0,59.3,1,1,0,64.5,3,1,0,2,96.95
8.73,3,3,0,1,0,1,11.5,7.9,85.6,2,4,0,80.1,2,1,1,1,54.95
9.17,1,3,0,1,1,1,6.2,5.9,48.5,3,1,0,84.4,3,1,0,1,70.83
7.06,2,2,1,1,0,0,40.8,8.7,76.7,1,2,0,64.5,2,1,1,0,68.33
5.92,5,3,0,0,0,1,49.1,7.3,92.8,2,5,1,74.6,1,0,0,3,0.0
5.77,0,3,1,0,0,0,31.0,4.2,70.7,0,3,0,38.8,1,0,0,3,0.0
6.34,2,1,1,0,1,0,1.0,5.0,46.1,0,2,0,45.4,2,1,0,0,72.09
9.87,0,2,0,1,0,1,7.4,6.2,60.1,3,5,2,89.6,2,1,1,0,59.07
7.08,0,3,0,1,1,1,27.9,7.5,46.9,1,5,0,91.4,3,1,1,1,57.92
6.46,3,2,1,1,0,0,68.1,5.2,78.4,0,6,0,64.4,2,1,0,0,65.87
7.45,4,3,1,0,0,0,22.9,9.0,99.2,2,6,1,89.2,1,1,2,0,41.1
6.91,4,3,0,0,0,1,33.3,5.4,90.0,2,5,0,70.2,1,1,2,1,44.8
6.13,3,3,1,0,0,1,61.4,8.4,83.9,2,1,3,69.0,2,0,0,3,0.0
9.94,4,1,1,1,0,0,13.4,9.0,92.8,1,2,0,64.1,2,1,1,1,65.83
5.56,2,1,1,0,0,0,73.9,8.9,98.9,0,5,0,66.1,1,1,2,1,43.18
9.17,4,1,0,0,0,0,95.3,7.6,78.3,3,5,0,78.7,0,1,2,0,46.44
6.81,4,1,0,1,0,0,94.2,4.2,49.9,2,3,0,62.4,1,1,2,2,44.02
9.8,0,3,1,0,0,0,33.9,5.4,54.7,0,2,0,39.1,1,1,2,3,49.3
6.89,5,1,0,0,0,0,93.6,9.6,80.1,2,2,0,56.1,0,1,2,2,49.02
9.87,3,2,1,0,0,0,15.0,5.7,74.8,2,5,0,70.5,1,1,2,0,38.91
5.23,3,3,0,1,0,1,65.4,7.3,61.2,2,6,0,91.5,2,1,1,0,71.05
8.35,3,1,1,1,0,1,92.2,6.9,83.7,1,5,0,82.7,3,1,0,0,70.21
8.03,3,1,0,0,0,0,0.4,9.4,53.1,1,6,0,66.7,0,1,2,1,35.14
9.27,0,3,1,0,1,0,58.4,4.9,90.0,0,5,0,57.6,2,1,0,3,68.72
7.84,3,3,1,1,0,1,11.2,6.4,84.5,0,4,1,68.7,3,1,1,2,51.12
7.03,5,2,0,0,1,1,59.2,6.4,55.9,1,6,0,75.9,2,1,0,3,77.52
7.58,1,1,1,1,1,0,11.6,7.3,51.9,0,5,0,72.4,3,1,1,3,57.9
5.55,0,3,0,0,0,0,39.5,7.0,51.2,1,4,0,47.7,0,1,2,3,42.99
9.04,2,3,1,1,0,0,57.4,6.2,73.5,1,4,0,69.5,2,1,0,2,91.27
9.63,0,3,0,0,1,0,46.7,8.9,53.0,0,4,0,59.7,1,1,2,1,49.58
6.86,3,3,0,0,1,1,57.5,6.8,78.8,1,2,0,63.8,2,1,0,2,86.46
5.87,2,2,0,1,1,1,65.6,4.8,45.6,0,5,2,66.8,3,1,0,0,65.38
9.03,4,3,0,1,0,0,16.0,9.0,65.0,2,3,0,76.0,1,1,2,0,42.58
5.38,4,2,1,1,1,1,51.8,7.7,97.0,3,5,1,120.6,4,1,1,3,56.39
9.34,5,2,1,0,1,0,84.0,7.2,85.9,0,4,0,62.7,2,1,1,0,67.39
9.13,4,2,0,1,1,0,85.0,8.8,70.2,0,1,1,48.2,2,1,1,3,49.49
6.76,4,2,1,0,0,1,80.7,4.6,74.6,0,2,0,45.2,2,1,0,0,77.15
7.22,2,2,0,0,0,0,37.8,7.2,44.4,1,3,0,50.4,0,1,2,0,37.28
7.77,3,1,1,1,0,0,46.0,8.4,97.1,1,5,1,78.8,2,1,0,1,87.24
5.22,5,3,0,0,0,0,80.7,6.8,69.1,2,5,0,63.0,0,0,0,3,0.0
9.36,4,1,1,1,1,0,58.8,4.1,73.5,1,5,0,78.5,3,1,0,0,70.76
6.97,4,3,0,0,0,0,99.7,6.4,52.7,1,6,0,55.8,0,1,2,3,45.52
9.56,3,1,1,0,1,0,88.6,5.9,73.9,0,4,0,53.8,2,1,1,1,63.0
9.36,1,1,1,1,1,1,50.1,6.2,53.4,1,4,1,85.5,4,1,0,3,80.91
6.62,0,1,0,1,0,0,28.3,7.5,63.1,1,1,1,51.6,1,0,0,3,0.0
7.82,3,2,1,1,1,1,14.3,4.1,89.5,2,5,0,98.7,4,1,0,1,80.2
6.17,1,3,1,0,0,0,92.4,4.6,53.2,2,4,0,63.8,1,1,2,0,39.0
9.05,3,2,1,0,0,1,19.9,9.0,80.6,1,4,0,75.0,2,1,1,0,62.05
8.08,5,3,1,0,1,0,7.8,7.9,98.6,0,4,0,61.9,2,1,1,2,56.94
9.14,3,1,1,1,0,0,13.0,8.3,76.0,1,4,0,75.1,2,1,1,1,70.41
8.93,0,1,0,1,0,1,19.7,6.6,85.0,1,1,0,52.0,2,1,1,0,65.43
8.86,3,3,1,1,1,1,67.4,5.0,50.9,0,1,0,58.9,4,1,0,2,90.22
7.31,3,3,0,0,0,1,44.8,7.6,72.8,2,1,0,57.1,1,1,2,0,50.66
8.64,2,2,0,1,0,1,50.6,4.9,41.5,3,4,0,80.8,2,1,1,0,65.17
7.86,5,3,1,0,0,1,60.0,8.2,67.8,2,2,1,73.3,2,1,0,0,89.0
5.42,2,1,1,1,0,1,93.0,7.9,78.8,2,5,0,101.3,3,1,0,3,69.32
5.35,0,2,1,1,1,0,6.8,5.3,40.5,2,6,3,95.0,3,0,0,3,0.0
6.17,1,3,1,1,0,0,70.2,8.0,55.0,2,2,3,70.2,2,1,1,1,54.32
5.07,5,3,1,1,0,0,56.1,8.1,92.3,2,3,0,80.1,2,1,0,1,71.37
6.61,2,2,0,1,1,0,87.3,8.1,60.7,1,1,2,57.6,2,1,1,0,58.93
8.42,1,3,1,0,0,1,4.2,6.7,78.2,0,2,0,47.4,2,1,0,3,63.31
8.42,1,2,1,1,0,0,3.0,5.9,88.4,1,4,0,67.4,2,1,0,2,71.84
8.67,3,3,1,1,0,1,86.6,5.9,72.9,1,2,0,70.1,3,1,0,0,85.98
6.67,3,3,0,0,1,0,32.9,6.8,90.8,3,2,0,75.1,1,1,2,1,41.45
7.64,4,3,0,1,1,1,68.9,7.3,60.8,2,6,0,100.9,3,1,1,0,58.16
6.79,3,3,1,1,0,0,32.7,8.7,82.7,0,2,1,53.8,2,1,0,3,74.72
5.35,0,1,1,1,0,1,41.7,5.6,87.3,3,3,0,95.2,3,1,1,1,72.58
9.63,2,1,1,1,1,0,41.9,7.2,41.1,1,2,2,67.5,3,1,1,0,73.34
7.95,2,3,0,0,0,1,32.4,8.0,61.5,1,1,1,48.5,1,0,0,3,0.0
6.13,2,3,0,1,0,0,80.9,4.7,67.7,0,4,0,43.8,1,1,2,0,42.5
8.17,5,3,1,1,1,0,14.7,9.2,52.7,0,3,0,72.9,3,1,1,3,68.46
5.46,2,2,0,1,0,0,75.9,6.5,51.8,1,2,0,47.6,1,1,2,0,38.41
5.28,1,3,1,0,0,0,35.1,7.2,84.9,0,6,0,60.3,1,1,2,3,41.16
8.57,3,1,0,0,0,0,50.3,8.4,56.4,2,4,0,69.1,0,1,2,1,40.84
8.16,0,1,1,1,0,0,94.9,9.8,41.7,2,1,1,74.7,2,1,0,1,100.51
6.37,1,2,1,1,0,1,7.8,9.4,63.5,1,6,0,99.2,3,1,0,2,83.05
9.68,4,1,0,1,0,0,25.8,9.6,40.8,1,4,0,70.0,1,1,2,3,49.58
8.3,0,1,1,0,0,0,37.9,5.6,61.7,1,3,0,49.2,1,1,2,2,46.29
7.54,3,3,1,1,0,1,2.8,6.2,72.0,0,6,0,81.2,3,1,1,2,59.64
6.25,0,2,1,1,0,1,35.8,6.3,57.2,2,4,0,88.3,3,1,1,2,74.96
9.95,0,2,0,1,0,1,20.1,8.9,45.0,0,6,1,73.8,2,1,0,1,87.83
5.29,0,3,1,1,0,0,6.0,9.8,46.6,0,5,0,70.4,2,1,1,3,51.57
5.21,2,1,1,0,0,1,13.0,9.2,79.9,2,4,0,90.0,2,1,0,1,77.93
10.0,1,2,1,1,0,1,34.2,5.9,87.1,0,5,0,72.8,3,1,0,3,93.6
7.66,1,1,1,0,1,0,45.3,4.0,61.0,0,6,1,59.6,2,1,1,1,58.27
6.63,5,1,1,0,0,0,14.7,8.1,48.5,1,2,0,50.8,1,1,2,2,40.9
6.03,0,3,1,1,0,0,31.9,6.3,66.4,1,2,0,58.2,2,1,1,0,54.6
8.86,2,2,0,1,1,0,44.9,4.1,88.2,2,2,0,64.1,2,1,0,3,67.96
6.69,5,2,0,1,0,0,2.5,8.8,40.1,0,3,0,52.3,1,1,2,3,41.03
5.3,4,3,0,1,1,0,48.7,4.9,96.9,0,1,0,43.2,2,1,0,1,65.61
7.09,5,3,0,0,0,0,80.6,4.9,68.9,2,3,0,46.0,0,0,0,3,0.0
5.12,3,3,0,0,0,0,85.8,5.1,56.0,3,5,0,73.8,0,1,2,3,47.16
9.28,5,3,1,0,0,1,55.5,9.6,88.8,1,1,0,63.1,2,1,1,0,59.33
7.47,2,2,0,0,1,0,28.7,6.1,52.9,1,3,0,56.1,1,0,0,3,0.0
5.08,5,1,1,1,0,0,13.3,5.7,54.4,0,6,0,64.6,2,1,0,2,59.82
8.65,3,2,0,1,0,0,98.8,7.0,96.9,3,1,0,61.7,1,1,2,0,55.07
7.97,3,2,0,0,1,0,30.5,6.3,98.0,0,6,0,55.5,1,1,2,1,36.79
7.88,2,1,0,1,0,0,29.3,8.6,85.3,1,2,0,56.9,1,1,2,2,47.26
7.55,5,1,1,1,0,0,27.0,7.3,61.6,1,5,1,81.1,2,1,1,0,71.23
9.54,2,2,1,1,0,1,83.0,6.4,78.3,2,5,0,90.7,3,1,1,2,60.39
7.06,1,2,1,0,0,0,25.8,6.9,96.8,1,5,0,61.2,1,1,2,3,39.53
8.77,2,1,1,1,0,1,82.3,8.9,57.1,0,6,0,89.7,3,1,0,3,82.72
7.02,2,3,1,0,1,0,54.6,5.4,49.1,1,3,0,62.0,2,1,0,1,85.51
7.55,0,3,1,1,0,1,72.1,5.6,75.0,2,6,1,92.6,3,1,0,0,75.48
7.32,4,2,1,1,0,1,31.2,5.6,69.7,3,1,0,86.2,3,1,0,3,72.59
7.59,3,1,0,0,0,0,87.4,8.8,87.1,0,2,0,41.3,0,1,2,1,40.12
8.37,1,3,1,0,0,1,49.4,8.0,89.0,1,3,2,73.3,2,1,0,3,73.36
7.07,3,1,0,1,0,1,66.4,8.0,71.2,1,5,0,83.4,2,1,1,0,68.28
8.32,0,2,1,1,1,0,11.0,4.4,62.4,1,6,0,84.0,3,1,0,1,76.99
8.62,5,3,0,1,0,0,83.4,6.3,44.4,1,1,2,41.9,1,0,0,3,0.0
7.37,1,3,1,1,1,0,66.8,8.4,84.5,1,4,0,88.6,3,1,1,0,74.19
5.12,2,3,0,0,0,0,7.5,5.5,97.4,0,2,0,23.9,0,0,0,3,0.0
8.39,1,3,0,0,0,0,52.7,5.7,82.0,1,1,0,31.3,0,0,0,3,0.0
9.64,2,2,0,1,1,0,18.4,5.9,73.6,0,4,0,53.4,2,1,0,1,61.45
6.32,0,1,1,0,0,0,26.2,4.4,59.6,0,2,0,29.5,1,0,0,3,0.0
7.0,4,2,0,0,0,1,10.7,8.6,82.8,0,4,1,53.3,1,0,0,3,0.0
6.8,0,3,1,0,1,1,87.3,6.4,97.8,1,5,0,82.2,3,1,0,3,89.81
9.53,5,2,1,1,1,0,77.4,5.5,56.8,1,6,0,88.0,3,1,0,0,92.23
5.88,1,3,1,0,0,0,18.1,8.0,74.8,1,5,0,68.6,1,1,2,3,40.7
5.71,4,2,1,0,0,1,1.2,7.6,86.3,0,2,0,57.3,2,1,1,2,43.59
9.56,4,1,1,0,0,1,57.8,9.1,89.6,3,5,0,100.9,2,1,1,2,69.56
10.0,4,1,0,0,0,0,35.5,8.2,51.0,1,5,0,60.3,0,1,2,0,37.48
9.26,2,1,0,0,0,1,25.5,10.0,61.3,1,1,0,58.4,1,1,2,3,48.63
7.31,1,1,1,1,0,0,99.6,8.5,76.9,2,5,1,87.1,2,1,0,1,98.31
5.1,0,1,1,0,0,0,96.4,5.3,75.3,2,1,0,46.6,1,1,2,2,47.9
8.43,3,1,0,0,0,0,93.9,8.0,55.3,0,1,0,28.3,0,1,2,0,47.17
6.07,3,2,1,0,0,1,9.0,9.8,77.9,3,1,0,81.0,2,1,1,3,67.25
9.0,2,2,1,1,1,0,82.7,8.5,80.7,0,1,3,61.3,3,1,0,2,90.33
5.27,2,1,1,1,0,0,69.3,4.4,89.0,0,3,0,49.5,2,1,0,1,64.01
9.18,0,2,1,0,0,0,40.1,6.0,88.2,3,2,1,72.8,1,1,2,3,41.37
7.48,0,3,1,1,1,1,54.7,8.3,97.9,1,5,0,103.6,4,1,0,3,73.66
5.25,4,1,1,0,0,0,48.3,5.0,42.6,0,6,1,55.0,1,0,0,3,0.0
6.84,2,2,0,0,0,1,84.5,9.5,67.8,0,6,1,71.2,1,1,2,2,48.36
5.62,0,3,0,1,0,1,27.3,9.4,94.2,3,5,1,107.7,2,1,0,1,86.28
8.77,3,2,0,1,0,0,25.9,9.0,51.6,2,6,1,84.5,1,1,2,1,44.56
9.79,1,1,0,0,0,1,42.9,6.7,49.4,1,2,1,54.5,1,1,2,1,42.71
6.67,3,3,0,1,0,0,9.6,8.8,50.5,0,5,0,60.9,1,1,2,2,43.61
7.39,5,3,1,0,1,1,88.0,6.7,74.8,2,6,1,104.2,3,1,1,1,70.66
5.2,3,2,1,1,0,1,82.5,5.7,64.3,1,1,0,58.1,3,1,0,0,74.11
7.86,2,1,1,0,0,0,85.0,8.2,92.2,0,1,0,35.9,1,1,2,2,39.54
6.27,1,3,0,1,0,0,48.3,7.1,76.3,3,2,1,75.2,1,1,2,2,42.33
7.44,2,2,0,1,0,1,60.9,7.4,66.4,1,1,2,60.5,2,0,0,3,0.0
6.49,1,2,0,1,0,1,23.4,9.6,56.5,0,5,0,69.0,2,1,0,1,75.8
6.21,2,1,0,1,0,0,68.0,4.9,73.6,0,4,0,48.0,1,1,2,1,39.26
9.58,0,1,1,1,0,1,41.5,6.7,89.8,0,1,0,53.7,3,1,0,3,70.21
7.6,2,1,1,1,0,0,14.0,8.2,59.3,2,6,0,98.9,2,1,1,1,62.57
6.33,2,3,1,1,1,0,29.7,6.2,59.6,0,6,0,74.4,3,1,0,2,77.07
9.45,3,1,1,1,0,0,35.5,7.1,71.8,1,5,0,72.7,2,1,1,2,55.87
7.41,0,3,0,0,0,0,3.2,4.3,72.3,0,5,0,40.5,0,0,0,3,0.0
9.09,1,2,1,0,1,0,47.1,8.3,52.8,2,1,0,67.4,2,1,0,1,66.26
6.42,2,1,0,1,1,1,70.6,7.9,95.4,3,6,0,117.0,3,1,0,1,91.72
9.65,4,2,1,0,0,1,8.5,5.3,53.8,1,5,0,70.3,2,1,0,2,84.23
5.59,1,3,1,1,0,1,81.6,8.8,44.4,2,3,0,96.0,3,1,1,0,52.39
8.92,1,1,0,0,1,1,21.8,8.7,42.9,0,5,0,75.3,2,1,1,2,51.67
8.8,2,3,1,0,1,0,71.5,7.3,49.4,0,1,2,47.2,2,0,0,3,0.0
7.88,4,3,1,0,0,1,70.5,7.2,59.6,0,1,2,47.1,2,0,0,3,0.0
6.62,5,1,0,1,1,1,50.2,5.0,81.0,2,6,0,94.6,3,1,1,1,54.67
8.87,3,1,1,0,1,1,94.2,4.8,54.1,1,4,0,73.2,3,1,0,0,88.37
9.79,5,3,1,0,0,0,62.4,7.7,56.6,1,4,0,60.2,1,1,2,0,49.31
6.79,3,3,1,1,0,0,89.0,6.1,88.1,0,2,0,49.4,2,1,1,1,60.41
7.51,0,3,1,0,0,0,63.8,5.3,95.9,1,4,0,54.8,1,1,2,3,50.98
6.71,2,3,0,1,0,1,46.5,6.7,84.9,0,6,1,66.7,2,1,0,1,65.08
9.04,2,1,0,0,1,0,59.2,8.5,85.7,2,2,0,65.8,1,1,2,3,39.33
9.07,1,2,1,0,1,1,96.8,9.6,68.9,2,4,1,98.8,3,1,1,0,56.04
9.95,5,3,1,1,0,1,87.0,6.6,69.2,0,3,0,60.4,3,1,1,3,67.3
5.62,4,3,1,0,0,1,98.1,8.0,77.5,0,6,3,76.9,2,0,0,3,0.0
8.57,4,3,1,1,0,0,31.2,9.4,87.8,2,2,0,74.4,2,1,0,0,93.55
5.75,2,3,0,0,1,0,67.3,7.7,78.8,0,2,0,46.6,1,0,0,3,0.0
6.97,3,2,0,1,0,0,59.5,6.2,50.0,2,5,0,78.1,1,1,2,1,53.23
8.4,0,3,1,0,0,0,24.5,5.9,74.5,0,3,0,47.6,1,0,0,3,0.0
7.13,4,2,1,1,0,1,41.8,5.9,98.4,3,4,0,100.2,3,1,0,0,73.87
8.72,2,3,0,1,0,0,64.4,9.1,97.2,2,4,2,82.1,1,1,2,0,49.56
8.86,3,1,1,1,0,1,78.6,5.2,89.1,3,1,2,83.2,3,1,3,3,105.49
9.1,1,1,0,1,0,0,54.9,5.3,44.7,2,3,1,58.6,1,1,2,2,53.25
5.8,5,2,1,0,0,0,99.9,8.6,54.5,1,4,1,61.9,1,1,2,1,44.2
7.85,2,3,1,1,1,1,47.6,4.5,97.3,0,1,0,61.1,4,1,0,2,70.93
7.46,1,3,0,1,0,0,46.1,7.3,48.5,2,1,0,53.7,1,1,2,3,38.82
8.1,4,3,0,0,1,0,90.3,5.1,89.1,1,4,0,57.9,1,1,2,3,41.66
9.75,5,1,1,0,0,0,37.2,7.8,50.5,1,3,1,59.4,1,1,2,0,48.63
6.31,2,2,1,0,1,1,68.3,5.4,52.9,1,3,0,69.3,3,1,0,0,85.88
6.77,0,1,0,1,0,1,24.8,8.9,58.7,0,2,0,55.8,2,1,0,2,78.59
9.57,0,1,0,1,0,0,40.4,6.9,40.0,2,4,0,68.0,1,1,2,1,48.44
5.21,0,1,0,0,0,0,45.0,8.2,42.9,2,6,0,70.9,0,1,2,2,42.31
8.71,3,1,1,0,0,0,90.3,8.6,69.6,3,4,0,81.8,1,1,2,2,56.28
8.02,0,3,1,1,1,0,47.6,8.1,92.6,2,1,1,78.4,3,1,0,3,69.77
7.31,1,2,0,1,0,0,89.4,10.0,73.0,1,1,1,55.5,1,1,2,0,49.05
6.6,0,2,1,1,1,0,77.0,8.5,79.4,3,5,1,113.5,3,1,0,1,97.52
6.68,5,3,1,0,1,0,25.8,8.9,56.7,1,3,0,76.6,2,1,0,2,77.72
9.7,0,1,0,1,0,1,64.8,9.6,77.5,1,1,1,67.5,2,1,1,3,51.04
9.06,0,2,0,0,0,0,77.5,5.6,66.9,0,1,1,17.7,0,0,0,3,0.0
9.49,1,1,1,0,0,0,6.7,8.3,85.8,2,5,0,79.0,1,1,2,0,43.9
9.05,5,3,1,1,1,1,43.8,7.1,95.9,1,4,1,92.7,4,1,0,3,78.79
7.49,2,3,1,0,0,0,3.4,7.9,76.4,0,5,0,59.6,1,0,0,3,0.0
7.67,0,3,1,1,1,0,29.9,5.7,74.6,0,1,0,56.2,3,1,1,0,56.58
7.73,5,1,1,1,0,1,23.1,9.8,79.6,0,3,0,71.9,3,1,0,2,77.19
6.93,2,1,0,0,0,1,25.5,6.8,66.9,0,4,2,49.7,1,0,0,3,0.0
9.72,4,3,1,0,1,0,59.5,6.3,64.1,0,4,0,61.1,2,1,1,2,62.12
6.01,0,3,1,1,1,0,68.6,7.7,78.3,2,3,0,91.0,3,1,0,1,90.89
9.9,5,2,1,1,0,0,80.2,6.9,94.3,1,2,0,58.0,2,1,0,1,90.74
8.85,4,3,1,1,0,0,22.4,8.3,93.8,0,4,1,69.8,2,1,1,1,62.41
5.19,5,3,0,1,0,1,21.4,10.0,81.9,2,6,0,101.8,2,1,1,1,68.19
8.69,5,3,0,1,1,0,10.7,8.0,41.8,1,3,0,68.0,2,0,0,3,0.0
9.74,5,2,1,1,1,1,58.8,4.6,59.4,1,5,0,87.6,4,1,1,2,61.98
8.42,1,3,1,0,0,0,49.5,8.6,83.6,0,2,1,43.2,1,0,0,3,0.0
6.71,2,3,1,1,0,1,67.7,5.3,62.3,0,4,0,68.8,3,1,1,3,57.1
8.27,1,3,0,1,1,0,84.3,5.6,65.0,0,2,0,42.1,2,1,1,3,67.38
6.95,0,1,1,1,0,0,34.7,8.6,72.1,0,1,0,49.3,2,1,1,1,57.12
8.01,5,2,0,1,0,0,30.0,6.0,45.6,1,1,1,42.7,1,0,0,3,0.0
9.49,5,2,0,0,1,1,69.3,4.2,71.7,1,1,0,52.1,2,1,0,1,75.5
8.69,5,3,1,0,1,0,21.0,7.7,52.7,1,4,0,71.0,2,1,0,3,75.76
5.84,2,2,1,1,1,1,15.9,4.8,76.9,2,6,1,101.5,4,1,0,0,73.03
9.32,2,2,1,1,0,0,7.6,4.6,63.0,0,3,1,48.3,2,0,0,3,0.0
8.82,1,2,1,0,0,1,37.6,6.8,89.4,0,1,0,49.9,2,1,1,0,61.7
5.34,5,1,0,0,0,0,85.5,7.5,62.1,0,5,2,46.7,0,0,0,3,0.0
9.39,5,3,1,1,0,0,95.2,5.5,56.0,1,6,0,72.3,2,1,0,1,75.46
6.66,3,3,0,1,1,1,72.4,8.2,81.7,2,3,0,92.0,3,1,1,0,64.75
8.88,2,2,0,1,1,1,11.4,5.6,70.9,2,2,0,72.5,3,1,1,3,49.53
8.47,3,1,1,1,1,0,39.7,9.9,99.3,1,2,2,79.2,3,1,1,2,75.43
9.02,2,3,1,0,0,1,49.3,4.1,97.3,1,4,0,64.6,2,1,1,2,69.95
8.17,5,1,1,1,1,0,7.2,8.8,73.3,1,3,0,83.3,3,1,1,0,59.89
9.03,0,2,0,1,0,0,49.3,4.3,42.2,1,5,1,61.7,1,0,0,3,0.0
8.27,4,1,1,1,0,0,52.1,6.7,87.5,3,1,1,79.2,2,1,1,0,67.02
9.6,0,3,1,0,0,1,44.2,8.5,70.6,0,1,1,51.1,2,1,1,0,58.92
8.01,5,3,1,1,1,0,33.4,8.1,54.8,1,6,0,98.8,3,1,1,1,63.22
7.6,0,1,0,1,0,0,62.4,7.1,41.3,0,5,2,54.0,1,0,0,3,0.0
8.76,3,2,1,1,0,0,37.8,6.5,91.0,3,1,1,73.1,2,1,0,1,79.56
7.37,4,2,0,1,0,0,58.0,8.2,64.6,2,3,2,73.2,1,1,2,0,41.81
7.94,5,1,1,1,0,1,52.8,9.8,89.0,2,1,0,79.6,3,1,0,1,95.44
5.71,2,2,1,1,1,0,95.7,5.3,98.2,1,4,0,76.2,3,1,0,2,75.68
6.33,5,2,0,0,1,1,15.2,5.5,79.1,3,6,0,100.2,2,1,0,1,66.08
7.62,1,1,1,1,0,0,55.7,9.6,63.3,0,6,0,76.4,2,1,1,0,62.43
5.94,3,1,1,1,0,0,73.4,9.0,78.1,0,6,0,79.7,2,1,1,3,57.38
7.03,1,3,1,1,0,0,43.9,5.3,41.7,1,5,0,73.5,2,1,1,2,59.21
6.09,5,3,1,0,0,1,79.3,8.2,93.2,0,5,1,67.8,2,1,1,0,56.23
8.4,0,3,1,0,0,0,26.0,5.0,51.3,2,5,0,73.8,1,1,2,3,45.88
8.18,0,1,1,0,0,0,34.3,4.7,65.6,0,6,1,58.1,1,1,2,0,43.71
6.25,2,2,0,0,0,0,40.5,5.9,70.9,1,4,0,49.5,0,0,0,3,0.0
6.23,3,1,1,0,0,0,22.8,8.1,51.7,2,1,0,63.0,1,1,2,1,47.82
7.81,1,3,1,1,0,0,59.0,5.6,60.4,0,3,3,47.1,2,0,0,3,0.0
6.93,5,1,0,0,1,0,77.5,5.5,63.0,1,1,0,37.6,1,1,2,3,46.35
8.71,0,2,0,1,0,0,98.6,5.1,74.1,1,3,0,46.4,1,1,2,2,41.03
9.1,2,3,1,0,0,1,46.9,9.5,86.1,2,3,0,87.0,2,1,0,1,76.97
9.07,2,3,0,0,1,0,33.0,9.2,95.0,3,1,0,69.8,1,1,2,1,43.72
8.07,4,1,1,0,0,1,69.0,9.3,64.2,1,4,0,79.5,2,1,1,3,58.73
5.88,3,3,1,1,0,0,98.9,4.9,83.1,1,5,0,66.5,2,1,1,2,58.46
9.42,4,2,1,0,0,0,52.6,7.6,68.0,2,2,0,62.7,1,1,2,0,49.98
8.13,3,1,1,0,1,1,17.2,5.6,72.6,0,1,1,49.8,3,0,0,3,0.0
9.94,4,2,0,0,0,1,79.3,6.9,58.3,1,1,1,41.7,1,1,2,2,44.76
9.9,3,3,0,0,1,0,2.5,7.0,47.8,3,5,2,83.2,1,1,2,2,49.67
